Local time,Open,High,Low,Close,Volume
04.01.2021 06:00:00.000 GMT-0000,103.005,103.061,102.979,102.988,4031.8701
04.01.2021 07:00:00.000 GMT-0000,102.989,103.012,102.850,102.912,5542.3999
04.01.2021 08:00:00.000 GMT-0000,102.911,102.922,102.767,102.803,6650.98
04.01.2021 09:00:00.000 GMT-0000,102.804,102.812,102.712,102.744,5340.2598
04.01.2021 10:00:00.000 GMT-0000,102.743,102.802,102.713,102.800,6027.29
04.01.2021 11:00:00.000 GMT-0000,102.800,102.876,102.787,102.857,6414.6001
04.01.2021 12:00:00.000 GMT-0000,102.858,102.935,102.848,102.910,5855.9199
04.01.2021 13:00:00.000 GMT-0000,102.908,103.057,102.898,103.026,8621.54
04.01.2021 14:00:00.000 GMT-0000,103.027,103.078,102.998,103.051,8877.9297
04.01.2021 15:00:00.000 GMT-0000,103.053,103.253,103.031,103.128,9562.1299
04.01.2021 16:00:00.000 GMT-0000,103.129,103.205,103.102,103.188,7318.0698
04.01.2021 17:00:00.000 GMT-0000,103.187,103.197,103.125,103.174,5069.21
04.01.2021 18:00:00.000 GMT-0000,103.174,103.177,103.125,103.130,3552.3501
04.01.2021 19:00:00.000 GMT-0000,103.130,103.187,103.110,103.110,3038.72
04.01.2021 20:00:00.000 GMT-0000,103.111,103.193,103.104,103.142,2840.22
04.01.2021 21:00:00.000 GMT-0000,103.139,103.176,103.126,103.126,1941.05
04.01.2021 22:00:00.000 GMT-0000,103.100,103.123,103.079,103.117,182.27
04.01.2021 23:00:00.000 GMT-0000,103.118,103.170,103.103,103.135,2912.1299
05.01.2021 00:00:00.000 GMT-0000,103.135,103.190,103.076,103.122,4778.8701
05.01.2021 01:00:00.000 GMT-0000,103.122,103.156,103.101,103.126,4472.5801
05.01.2021 02:00:00.000 GMT-0000,103.125,103.151,103.107,103.113,3209.4199
05.01.2021 03:00:00.000 GMT-0000,103.112,103.126,103.021,103.033,3823.6201
05.01.2021 04:00:00.000 GMT-0000,103.032,103.047,102.987,102.994,3670.6899
05.01.2021 05:00:00.000 GMT-0000,102.994,102.994,102.934,102.954,3881.4199
05.01.2021 06:00:00.000 GMT-0000,102.954,102.971,102.887,102.919,2693.8701
05.01.2021 07:00:00.000 GMT-0000,102.920,102.996,102.877,102.950,5800.52
05.01.2021 08:00:00.000 GMT-0000,102.949,102.961,102.879,102.906,6492.8398
05.01.2021 09:00:00.000 GMT-0000,102.908,102.919,102.812,102.836,5021.3398
05.01.2021 10:00:00.000 GMT-0000,102.835,102.884,102.797,102.874,4630.5698
05.01.2021 11:00:00.000 GMT-0000,102.875,102.886,102.796,102.818,6241.96
05.01.2021 12:00:00.000 GMT-0000,102.818,102.941,102.796,102.890,6161.8701
05.01.2021 13:00:00.000 GMT-0000,102.891,102.930,102.858,102.916,6769.4102
05.01.2021 14:00:00.000 GMT-0000,102.916,102.927,102.805,102.815,7256.8398
05.01.2021 15:00:00.000 GMT-0000,102.817,102.946,102.773,102.789,10623.6299
05.01.2021 16:00:00.000 GMT-0000,102.788,102.820,102.664,102.703,7367.52
05.01.2021 17:00:00.000 GMT-0000,102.703,102.709,102.604,102.651,5275.7798
05.01.2021 18:00:00.000 GMT-0000,102.652,102.682,102.636,102.652,3627.6599
05.01.2021 19:00:00.000 GMT-0000,102.649,102.679,102.631,102.634,2214.1299
05.01.2021 20:00:00.000 GMT-0000,102.636,102.703,102.627,102.698,2137.0601
05.01.2021 21:00:00.000 GMT-0000,102.697,102.752,102.689,102.708,1121.3
05.01.2021 22:00:00.000 GMT-0000,102.689,102.755,102.676,102.719,1613.9399
05.01.2021 23:00:00.000 GMT-0000,102.718,102.720,102.648,102.685,2436.52
06.01.2021 00:00:00.000 GMT-0000,102.684,102.704,102.591,102.672,7473.6899
06.01.2021 01:00:00.000 GMT-0000,102.673,102.824,102.649,102.774,10404.8701
06.01.2021 02:00:00.000 GMT-0000,102.773,102.869,102.742,102.832,7792.9399
06.01.2021 03:00:00.000 GMT-0000,102.833,102.849,102.769,102.807,6560.8198
06.01.2021 04:00:00.000 GMT-0000,102.807,102.834,102.714,102.819,7437.7202
06.01.2021 05:00:00.000 GMT-0000,102.819,102.830,102.746,102.786,4675.9102
06.01.2021 06:00:00.000 GMT-0000,102.787,102.791,102.717,102.722,3357.23
06.01.2021 07:00:00.000 GMT-0000,102.722,102.765,102.674,102.741,7467.75
06.01.2021 08:00:00.000 GMT-0000,102.739,102.841,102.733,102.825,7867.0098
06.01.2021 09:00:00.000 GMT-0000,102.826,102.884,102.775,102.863,6636.4302
06.01.2021 10:00:00.000 GMT-0000,102.863,102.866,102.814,102.841,5229.5898
06.01.2021 11:00:00.000 GMT-0000,102.841,102.848,102.758,102.798,3949.6299
06.01.2021 12:00:00.000 GMT-0000,102.798,102.978,102.767,102.928,5721.0498
06.01.2021 13:00:00.000 GMT-0000,102.930,103.201,102.894,103.174,10982.2002
06.01.2021 14:00:00.000 GMT-0000,103.174,103.254,103.148,103.202,13978.4805
06.01.2021 15:00:00.000 GMT-0000,103.205,103.444,103.196,103.383,9261.8799
06.01.2021 16:00:00.000 GMT-0000,103.384,103.404,103.250,103.261,6193.52
